Versao Java; Tamanho Data Set; No.Casos; Tempo; Tamanho/Resultado 
7;Total;1M;1.445472253;5.002686345999615E7
8;Total;1M;1.445472253;5.002686346E7
9;Total;1M;1.445472253;5.002686346E7
7;C/Spliterator;1M;1.489866868;2.501072000000222E7
