Tipo de Estrutura; No.Casos; Tempo; Tamanho 
List;1M;2.64232078;1000000
SortedTree Set;1M;3.089818411;445013
List;2M;6.076692721;2000000
SortedTree Set;2M;6.62874704;513039
List;4M;13.888248855;4000000
SortedTree Set;4M;12.954401548;525323
List;6M;18.966004659;6000000
SortedTree Set;6M;15.712116296;120960
